"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Albergue turístico superior";"ALBERGUE DE ARIJA";"CL/LA CAMPA,S/N";"09570";"Burgos";"Arija";"ARIJA";"ARIJA";"665823232";"";"";"";"info@arijaaventura.com";"www.arijaaventura.com";"";"";
"Albergue turístico";"ALBERGUE MUNICIPAL DE OÑA";"ANTIGUA ESTACIÓN DE FERROCARRIL";"09530";"Burgos";"Oña";"OÑA";"OÑA";"606835966";"947300001";"";"947304402";"ayuntamientoona@yahoo.es";"www.ayuntamientoona.com";"";"";
"Albergue turístico de los Caminos a Santiago";"EL  PEREGRINO";"CL/CAMINO DE SANTIAGO,25";"09199";"Burgos";"Atapuerca";"ATAPUERCA";"ATAPUERCA";"661580882";"";"";"";"rocio@albergueatapuerca.com";"www.albergueatapuerca.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"EL  PUNTIDO";"CL/LA IGLESIA, 6";"09227";"Burgos";"Hontanas";"HONTANAS";"HONTANAS";"947378597";"636781387";"";"";"varas67@hotmail.com";"www.puntido.com";"";"";
"Albergue turístico";"EL  MOLINO";"CAMINO DE LOS MOLINOS, S/N";"09199";"Burgos";"Arlanzón";"ARLANZON";"ARLANZON";"947421807";"608900968";"";"947421813";"info@gearlanzon.com";"www.gearlanzon.com";"";"";
"Albergue turístico superior";"EL TREN MINERO";"CAMINO DE LOS MOLINOS S/N";"09199";"Burgos";"Arlanzón";"ARLANZON";"ARLANZON";"947421807";"608900968";"";"947421813";"info@gearlanzon.com";"www.gearlanzon.com";"";"";
"Albergue turístico";"LOS CEREZOS";"BARRIO DEL VAL,23";"09146";"Burgos";"Valle de Zamanzas";"AYLANES";"AYLANES";"659754490";"";"";"";"loscerezos@albergueloscerezos.com";"loscerezos.com";"";"";
"Albergue turístico";"EL ERMITAÑO - VUELTA AL ORIGEN";"CAMINO SANTA MARÍA, S/N";"09471";"Burgos";"Fuentelcésped";"FUENTELCESPED";"FUENTELCESPED";"687519939";"";"";"";"info@vueltaalorigen.com";"www.vueltaalorigen.com";"";"";
"Albergue turístico";"ALBERGUE DE CORNEJO";"CL/CORNEJO, 22";"09568";"Burgos";"Merindad de Sotoscueva";"CORNEJO";"CORNEJO";"687513153";"";"";"946763981";"alberguedecornejo@hotmail.com";"www.pinpoil.com/alberguecornejo";"";"";
"Albergue turístico superior";"MOLINO SOLACUESTA";"CL/ EL PARQUE N-18";"09340";"Burgos";"Lerma";"LERMA";"LERMA";"679360992";"";"";"";"informacion@alberguesolacuesta.com";"www.alberguesolacuesta.com";"";"";
"Albergue turístico";"EL TORREÓN";"CL/EL CASTILLO,S/N";"09453";"Burgos";"Tubilla del Lago";"TUBILLA DEL LAGO";"TUBILLA DEL LAGO";"620642635";"";"";"";"";"";"";"";
"Albergue turístico superior";"ARTE Y NATURA VALDIVIELSO";"CL/ ICEDO,42";"09559";"Burgos";"Merindad de Valdivielso";"QUINTANA DE VALDIVIELSO";"QUINTANA DE VALDIVIELSO";"947303200";"652641079";"";"947303200";"info@arteynaturavaldivielso.org";"www.arteynaturavaldivielso.org";"";"";
"Albergue turístico";"LA CASA DEL MAESTRO";"C/ CAMINO DE LAS BERLANAS, 1";"05163";"Ávila";"Gotarrendura";"GOTARRENDURA";"GOTARRENDURA";"920269038";"";"";"";"";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"""LAGANARES""";"C/ NUEVA,1";"34349";"Palencia";"Moratinos";"SAN NICOLAS DEL REAL CAMINO";"SAN NICOLAS DEL REAL CAMINO";"979188142";"629181536";"";"";"laganares@yahoo.es";"www.alberguelaganares.es";"";"";
"Albergue turístico de los Caminos a Santiago";"""CANAL DE CASTILLA""";"C/ LA ESTACIÓN, 2";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810193";"630430910";"";"";"josemarcosf@wanadoo.es";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"""ESTRELLA DEL CAMINO""";"C/ ESPAÑOL S/N";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810053";"653751582";"";"";"";"";"";"";
"Albergue turístico superior";"""COMPLEJO TURÍSTICO  EL VALLE""";"C/ EL VALLE, 3";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979892026";"615389480";"";"979892026";"info@villarromana.com";"";"";"";
"Albergue turístico de los Caminos a Santiago";"""ITERO.LA MOCHILA""";"C/ SANTA ANA, 3";"34468";"Palencia";"Itero de la Vega";"ITERO DE LA VEGA";"ITERO DE LA VEGA";"979151781";"";"";"";"culoma@hotmail.com";"";"";"";
"Albergue turístico de los Caminos a Santiago";"""EL PALOMAR""";"C/ LAS HUERTAS, 4";"34347";"Palencia";"Ledigos";"LEDIGOS";"LEDIGOS";"979883605";"979883614";"";"";"";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"""LOS TEMPLARIOS""";"C/ CRTA. BURGOS-TERRADILLOS, S/N";"34349";"Palencia";"Lagartos";"TERRADILLOS DE LOS TEMPLARIOS";"TERRADILLOS DE LOS TEMPLARIOS";"979065968";"667252279";"";"";"alberguelostemplarios@hotmail.com";"www.alberguelostemplarios.com";"";"";
"Albergue turístico de los Caminos a Santiago";"""EN EL CAMINO""";"C /FRANCOS, 3";"34468";"Palencia";"Boadilla del Camino";"BOADILLA DEL CAMINO";"BOADILLA DEL CAMINO";"979810284";"629166545";"";"";"hotelrural@boadilladelcamino.com";"www.boadilladelcamino.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"""PUTZU""";"C/ LAS BODEGAS, 9";"34468";"Palencia";"Boadilla del Camino";"BOADILLA DEL CAMINO";"BOADILLA DEL CAMINO";"ooooooooooooooooo";"";"";"";"putzualbergue@hotmail.com";"";"";"";
"Albergue turístico superior";"BUENAESPERANZA";"FINCA BUENA ESPERANZA, S/N";"37183";"Salamanca";"Morille";"MORILLE";"MORILLE";"923170185";"";"";"";"";"";"";"";
"Albergue turístico";"SIETE PEÑAS";"ABAJO, 38";"37717";"Salamanca";"Vallejera de Riofrío";"VALLEJERA DE RIOFRIO";"VALLEJERA DE RIOFRIO";"923083021";"699086985";"";"923083021";"alberguevallejera@gmail.com";"www.alberguesietepeñas.es";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBA-SORAYA";"BAÑOS, S/N";"37714";"Salamanca";"Calzada de Béjar (La)";"CALZADA DE BEJAR (LA)";"CALZADA DE BEJAR (LA)";"646410643";"923416573";"";"923416505";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"DON ANTONINO Y DOÑA CINIA";"AV PADRE EUSTOQUIO, 16";"24391";"León";"Valverde de la Virgen";"VIRGEN DEL CAMINO (LA)";"VIRGEN DEL CAMINO (LA)";"987302800";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"LIBERANOS DOMINE";"PZA/FRANCISCO RIVERAS,10";"09130";"Burgos";"Rabé de las Calzadas";"RABE DE LAS CALZADAS";"RABE DE LAS CALZADAS";"695116901";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE MUNICIPAL DE AGÉS";"CL/DEL MEDIO, 21";"09199";"Burgos";"Arlanzón";"AGES";"AGES";"947400697";"660044575";"";"";"info@alberguedeages.com";"www.alberguedeages.com";"";"";
"Albergue turístico";"CAMPELIN";"VALDEPICOS, 16";"24000";"León";"Sancedo";"OCERO";"OCERO";"987000000";"";"";"";"";"";"";"";
"Albergue turístico";"ALBERGUE DE VEGACERVERA ""EL CHALTEN""";"SAN JUAN, S/N";"24836";"León";"Vegacervera";"VEGACERVERA";"VEGACERVERA";"987591376";"686045743";"";"";"correo@elchalten.es";"www.elchalten.es";"";"";
"Albergue turístico superior";"SERRILLA";"REAL, 22-24";"24836";"León";"Matallana de Torío";"SERRILLA";"SERRILLA";"987578384";"";"";"";"info@albergueserrilla.com ; albergueserrilla@yahoo.es";"www.albergueserrilla.com ; www.campamentosveranoenlamontaña.es";"";"";
"Albergue turístico superior";"EL BOSQUE DE LOS SUEÑOS";"EL BAHILLO, S/N";"24492";"León";"Cubillos del Sil";"CUBILLOS DEL SIL";"CUBILLOS DEL SIL";"661502582";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"TIO PEPE";"TESO DE LA IGLESIA, 2";"24392";"León";"Chozas de Abajo";"VILLAR DE MAZARIFE";"VILLAR DE MAZARIFE";"636794889";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE MUNICIPAL DE TRABADELO";"CAMINO DE SANTIAGO, S/N";"24523";"León";"Trabadelo";"TRABADELO";"TRABADELO";"987566413";"";"";"";"";"";"";"";
"Albergue turístico";"LAS AGUEDAS";"C/ CAMINO DE SANTIAGO, 52";"24718";"León";"Astorga";"MURIAS DE RECHIVALDO";"MURIAS DE RECHIVALDO";"987691234";"636067840";"";"";"lasaguedas@yahoo.es";"www.lasaguedas.com";"";"";
"Albergue turístico de los Caminos a Santiago";"SAN ANTONIO DE PADUA";"C/ LEON, 33";"24392";"León";"Chozas de Abajo";"VILLAR DE MAZARIFE";"VILLAR DE MAZARIFE";"987390192";"";"";"";"alberguesanantoniodepadua@hotmail.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE VILLADANGOS DEL PARAMO";"PLAZA MAYOR, 1";"24392";"León";"Villadangos del Páramo";"VILLADANGOS DEL PARAMO";"VILLADANGOS DEL PARAMO";"987390003";"";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"EL ROBLE";"CTRA. N-VI., KM.426";"24520";"León";"Vega de Valcarce";"VEGA DE VALCARCE";"VEGA DE VALCARCE";"696161604";"";"";"";"elrobledevega@gmail.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"CAMINO DEL SALVADOR";"BAJO LA VILLA, 4";"24608";"León";"Pola de Gordón (La)";"BUIZA";"BUIZA";"987575566";"987597031";"679860372";"";"";"";"";"";
